Player,Team,PAT,FG,1-19,20-29,30-39,40-49,50+,Lg,Pts,,,,,,,,,,
Brandon Talton,NEV,49/49,21/29,0/0,4/4,8/10,7/10,2/5,52,112,,,,,,,,,,
John Richardson,NIU,42/42,22/27,0/0,10/11,6/8,6/7,0/1,47,108,,,,,,,,,,
Ethan Albertson,NMSU,28/30,17/22,0/0,4/6,7/8,3/5,3/3,50,79,,,,,,,,,,
Nick Rice,ODU,39/41,20/26,1/1,5/7,8/9,5/7,1/2,50,99,,,,,,,,,,
Gabe Brkic,OKLA,52/52,18/24,0/0,7/8,3/4,3/5,5/7,56,106,,,,,,,,,,
Stephen Johnson,OHIO,24/26,16/23,1/1,9/10,4/6,2/5,0/1,44,72,,,,,,,,,,
Tanner Brown,OKST,32/32,14/17,1/1,9/9,3/4,1/2,0/1,49,74,,,,,,,,,,
Camden Lewis,ORE,52/53,12/15,0/0,5/5,2/3,5/7,0/0,49,88,,,,,,,,,,
Everett Hayes,ORST,47/47,10/15,0/0,4/4,2/5,2/2,2/4,60,77,,,,,,,,,,
Noah Ruggles,OSU,68/68,18/19,0/0,6/6,8/9,4/4,0/0,46,122,,,,,,,,,,
Sam Scarton,PITT,66/69,17/21,0/0,5/5,7/8,5/7,0/1,47,117,,,,,,,,,,
Jordan Stout,PSU,34/36,16/23,0/0,5/7,4/4,5/9,2/3,52,82,,,,,,,,,,
Mitchell Fineran,PUR,36/38,20/25,0/0,9/9,9/14,2/2,0/0,49,96,,,,,,,,,,
Valentino Ambrosio,RUTG,29/30,11/15,0/0,7/9,3/4,1/2,0/0,40,62,,,,,,,,,,
Andrew Stein,USM,34/37,18/22,1/1,9/10,5/6,3/5,0/0,46,88,,,,,,,,,,
Parker White,SCAR,27/27,13/14,0/0,2/2,8/9,2/2,1/1,54,66,,,,,,,,,,
Matt Araiza,SDSU,40/40,17/27,0/0,3/3,8/9,3/6,3/9,53,91,,,,,,,,,,
Matthew Mercurio,SJSU,27/28,15/19,0/0,3/4,8/8,4/6,0/1,48,72,,,,,,,,,,
Blake Mazza,SMU,54/57,12/15,0/0,5/5,4/5,3/5,0/0,47,90,,,,,,,,,,
Joshua Karty,STAN,27/27,10/15,0/0,1/1,5/5,3/4,1/5,51,57,,,,,,,,,,
Andre Szmyt,SYR,36/38,9/14,0/1,4/4,2/2,3/6,0/1,48,63,,,,,,,,,,
Rory Bell,TEMP,23/23,9/16,0/0,1/1,5/6,2/8,1/1,55,50,,,,,,,,,,
Brooks Buce,TROY,32/34,8/9,0/0,3/3,3/3,2/3,0/0,48,56,,,,,,,,,,
Merek Glover,TUL,33/33,6/11,0/0,2/4,1/2,3/5,0/0,41,51,,,,,,,,,,
